,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
12,polygon,13,MATIC,Polygon,9319469069.28493,10000000000.0,6213054474.023855,132368354.48923098,0.6666747244755408,-3.4386584137614054,0.6726734633168953,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
13,bitcoin-cash,14,BCH,Bitcoin Cash,19442031.25,21000000.0,5443722779.3982,347975806.27749115,279.9976355041709,-5.054701214509441,284.0972440660183,https://blockchair.com/bitcoin-cash/blocks
14,wrapped-bitcoin,15,WBTC,Wrapped Bitcoin,157325.80860059,,4743437213.246716,61510353.68697827,30150.407332652518,-3.13285562952502,30303.443004954977,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
15,multi-collateral-dai,16,DAI,Multi Collateral DAI,4653685707.413572,,4655488346.267877,33246845.898714922,1.0003873572406132,0.053159396931253,1.0003974074887356,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
16,avalanche,17,AVAX,Avalanche,345686822.8949803,720000000.0,4353534003.181843,48821351.751400955,12.593867381819315,-2.8602507426352073,12.59315842356166,https://avascan.info/
17,shiba-inu,18,SHIB,Shiba Inu,589347830319077.2,,4259086849.4601464,59247228.390417404,7.2267795525e-06,-4.887569913941904,7.2931289172e-06,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
18,binance-usd,19,BUSD,Binance USD,4061053626.8490973,,4062059157.731237,330196376.1751975,1.0002476034483987,0.0283769910243848,1.0007170429643186,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
19,unus-sed-leo,20,LEO,UNUS SED LEO,929897343.9,,3426306756.347309,611210.3282629946,3.6846075309531905,-7.0821200888522045,3.7289806336324074,https://eospark.com/account/bitfinexleo1
20,chainlink,21,LINK,Chainlink,538099970.4527867,1000000000.0,3294422419.561203,93915721.52025403,6.122324104179184,-4.811426177570639,6.188542909557761,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
21,uniswap,22,UNI,Uniswap,577501036.0,1000000000.0,3173038267.931782,43344758.08827421,5.494428702517136,-1.2043307521689706,5.405057598012698,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
22,monero,23,XMR,Monero,18301790.1879799,,3027102857.937941,37806841.9085259,165.39927661972965,-2.1466805138830294,167.11838164116193,http://moneroblocks.info/
23,trueusd,24,TUSD,TrueUSD,3005511677.4,,3006441890.5369067,414165901.31171054,1.0003095024198048,0.012699097744307,1.0006435669612217,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
24,ethereum-classic,25,ETC,Ethereum Classic,141790611.46372864,210700000.0,2663445539.0974402,66566583.76729556,18.78435752270364,-5.051227366997714,19.104246246347152,http://gastracker.io/
